Outcome,band14,se14,t14,optimal_band,opt_se,opt_t
Seasons Played,-1.757029,.4798566,-3.66***,-3.07683,1.590781,-1.93*
Games Played, 18.0436,11.27466,1.60,19.34568,35.33425,0.55
Age of Retirement,-.5110663,.261362,-1.96*,-1.464268,.8204569,-1.78*
