Year,Player,Salary
2011,Brooks Orpik,"$3,750,000"
2011,Mike Commodore,"$3,800,000"
2011,Antoine Vermette,"$3,750,000"
2011,Toby Enström,"$3,500,000"
2011,Chris Kunitz,"$3,800,000"
2011,Filip Kuba,"$3,700,000"
2011,Ryane Clowe,"$3,500,000"
2011,Barret Jackman,"$4,000,000"
2011,Mattias Ohlund,"$4,000,000"
2011,Jarret Stoll,"$3,400,000"
2011,Brent Burns,"$3,800,000"
2011,Kari Lehtonen,"$2,700,000"
2011,Cory Stillman,"$3,500,000"
2011,Sami Salo,"$3,500,000"
2011,Craig Rivet,"$3,500,000"
2011,Matthew Lombardi,"$3,500,000"
2011,Brent Seabrook,"$3,500,000"
2011,Ryan Suter,"$3,500,000"
2011,Matt Cullen,"$3,500,000"
2011,Nick Schultz,"$3,600,000"
2011,Willie Mitchell,"$3,500,000"
2011,Johnny Oduya,"$3,500,000"
2011,Niklas Hjalmarsson,"$3,500,000"
2011,Justin Williams,"$3,500,000"
2011,Matt Stajan,"$4,500,000"
2011,Kris Letang,"$3,500,000"
2011,Chris Phillips,"$3,500,000"
2011,Matthew Carle,"$3,500,000"
2011,Dainius Zubrus,"$3,400,000"
2011,Pekka Rinne,"$2,800,000"
2011,Rob Scuderi,"$3,400,000"
2011,Dave Bolland,"$3,375,000"
2011,Alexander Steen,"$2,750,000"
2011,Rene Bourque,"$4,000,000"
2011,Dan Girardi,"$3,100,000"
2011,Keith Ballard,"$4,200,000"
2011,Stephane Robidas,"$3,250,000"
2011,Andrei Kostitsyn,"$3,250,000"
2011,Teemu Selanne,"$3,250,000"
2011,Mikko Koivu,"$3,700,000"
2011,Dennis Seidenberg,"$3,000,000"
2011,Alexander Edler,"$3,250,000"
2011,James Wisniewski,"$3,250,000"
2011,Alexei Ponikarovsky,"$3,200,000"
2011,Derick Brassard,"$2,800,000"
2011,Braydon Coburn,"$3,000,000"
2011,Dustin Brown,"$3,500,000"
2011,Rostislav Olesz,"$3,100,000"
2011,Kyle Quincey,"$3,000,000"
2011,Zach Parise,"$5,000,000"
2011,Stephen Weiss,"$3,200,000"
2011,Marc-Édouard Vlasic,"$2,800,000"
2011,Christian Ehrhoff,"$3,400,000"
2011,Cam Barker,"$3,000,000"
2011,Kris Versteeg,"$3,083,333"
2011,Patric Hörnqvist,"$3,000,000"
2011,Colin White,"$3,000,000"
2011,Toni Lydman,"$3,000,000"
2011,Ray Whitney,"$3,000,000"
2011,Colby Armstrong,"$3,000,000"
2011,Alexander Frolov,"$3,000,000"
2011,Niklas Hagman,"$3,000,000"
2011,Ales Kotalik,"$3,000,000"
2011,Niklas Kronwall,"$3,500,000"
2011,Radim Vrbata,"$3,000,000"
2011,Valtteri Filppula,"$3,500,000"
2011,Dustin Byfuglien,"$3,000,000"
2011,Olli Jokinen,"$3,000,000"
2011,Jordan Leopold,"$3,000,000"
2011,Ian White,"$2,999,995"
2011,Rostislav Klesla,"$2,975,000"
2011,Steve Ott,"$2,100,000"
2011,Matt Greene,"$2,750,000"
2011,Erik Cole,"$3,000,000"
2011,Bryce Salvador,"$2,900,000"
2011,Mikhail Grabovski,"$2,850,000"
2011,Bryan Allen,"$3,100,000"
2011,Jiri Hudler,"$2,750,000"
2011,James Neal,"$2,250,000"
2011,Chris Stewart,"$2,500,000"
2011,Fedor Tyutin,"$3,000,000"
2011,Jamie Langenbrunner,"$2,800,000"
2011,Daniel Cleary,"$3,000,000"
2011,Derek Morris,"$2,500,000"
2011,Carey Price,"$2,500,000"
2011,Tim Gleason,"$3,000,000"
2011,Jeff Schultz,"$2,500,000"
2011,David Clarkson,"$2,000,000"
2011,Niclas Wallin,"$2,650,000"
2011,Samuel Pahlsson,"$2,650,000"
2011,Erik Johnson,"$2,200,000"
2011,Tomas Fleischmann,"$2,600,000"
2011,Mason Raymond,"$2,500,000"
2011,Mikael Samuelsson,"$2,500,000"
2011,Guillaume Latendresse,"$2,400,000"
2011,Douglas Murray,"$2,500,000"
2011,Manny Malhotra,"$2,500,000"
2011,David Backes,"$2,500,000"
2011,Vaclav Prospal,"$2,480,000"
2011,Matt Moulson,"$2,450,000"
2011,Bryan Little,"$1,650,000"
2011,Nikolai Kulemin,"$2,500,000"
2011,Andrew Ladd,"$2,350,000"
2011,Antti Miettinen,"$2,333,333"
2011,Brent Sopel,"$2,000,000"
2011,Chuck Kobasew,"$2,500,000"
2011,Jim Vandermeer,"$2,300,000"
2011,Paul Gaustad,"$2,500,000"
2011,Trevor Daley,"$2,500,000"
2011,Ryan Callahan,"$2,400,000"
2011,Sam Gagner,"$2,275,000"
2011,Hal Gill,"$2,250,000"
2011,Joe Corvo,"$2,250,000"
2011,Scottie Upshall,"$2,250,000"
2011,Andrew Ference,"$2,250,000"
2011,Mike Smith,"$2,400,000"
2011,Eric Fehr,"$2,200,000"
2011,Blake Wheeler,"$2,200,000"
2011,David Perron,"$1,800,000"
2011,Chris Kelly,"$2,000,000"
2011,Carlo Colaiacovo,"$1,750,000"
2011,Shaone Morrisonn,"$2,075,000"
2011,Brooks Laich,"$2,400,000"
2011,Andy Sutton,"$2,000,000"
2011,Steven Reinprecht,"$2,175,000"
2011,Trent Hunter,"$2,000,000"
2011,Nikolai Zherdev,"$2,000,000"
2011,Peter Mueller,"$1,500,000"
2011,Steve Bernier,"$2,000,000"
2011,Jan Hejda,"$2,000,000"
2011,Antti Niemi,"$2,000,000"
2011,Alexandre Burrows,"$2,000,000"
2011,Chris Neil,"$2,000,000"
2011,Anton Strålman,"$1,950,000"
2011,Todd Bertuzzi,"$2,250,000"
2011,Greg Zanon,"$2,000,000"
2011,Lee Stempniak,"$1,500,000"
2011,Drew Stafford,"$2,300,000"
2011,Johnny Boychuk,"$1,750,000"
2011,Jason Chimera,"$1,875,000"
2011,Gilbert Brule,"$1,850,000"
2011,Chris Mason,"$1,600,000"
2011,Brandon Dubinsky,"$2,000,000"
2011,Steve Downie,"$1,800,000"
2011,Alex Goligoski,"$1,500,000"
2011,Craig Anderson,"$2,125,000"
2011,Kurtis Foster,"$1,800,000"
2011,Devin Setoguchi,"$1,800,000"
2011,Matt Cooke,"$2,150,000"
2011,Martin Hanzal,"$1,500,000"
2011,Jonathan Quick,"$1,900,000"
2011,Kurt Sauer,"$1,750,000"
2011,Chad Larose,"$1,900,000"
2011,Kent Huskins,"$1,900,000"
2011,Matt Walker,"$1,625,000"
2011,Alex Tanguay,"$1,700,000"
2011,Jussi Jokinen,"$1,900,000"
2011,Mark Stuart,"$1,675,000"
2011,Derek Boogaard,"$1,700,000"
2011,Nicklas Grossmann,"$1,500,000"
2011,Chris Higgins,"$1,600,000"
2011,Shane O'Brien,"$1,600,000"
2011,Steve Montador,"$1,550,000"
2011,Michael Leighton,"$1,500,000"
2011,Radek Martinek,"$1,900,000"
2011,Dan Ellis,"$1,500,000"
2011,Matt Niskanen,"$1,250,000"
2011,Joel Ward,"$1,500,000"
2011,Travis Moen,"$1,500,000"
2011,Brett Lebda,"$1,500,000"
2011,Matt Hunwick,"$1,550,000"
2011,Jay McClement,"$1,450,000"
2011,Jack Johnson,"$1,650,000"
2011,Chris Osgood,"$1,100,000"
2011,Anton Babchuk,"$1,400,000"
2011,Chris Campoli,"$1,400,000"
2011,Cal Clutterbuck,"$1,000,000"
2011,Eric Nystrom,"$1,400,000"
2011,Pascal Dupuis,"$1,400,000"
2011,Karlis Skrastins,"$1,650,000"
2011,Torrey Mitchell,"$1,375,000"
2011,Francis Bouillon,"$1,200,000"
2011,Jonas Gustavsson,"$1,300,000"
2011,Kevin Klein,"$1,350,000"
2011,Benoit Pouliot,"$1,350,000"
2011,Rich Peverley,"$1,250,000"
2011,Jarkko Ruutu,"$1,300,000"
2011,Ladislav Smid,"$1,400,000"
2011,Kris Russell,"$1,300,000"
2011,David Moss,"$1,300,000"
2011,Mike Modano,"$1,250,000"
2011,Jordin Tootoo,"$1,150,000"
2011,Tuukka Rask,"$1,000,000"
2011,John Erskine,"$1,250,000"
2011,Peter Budaj,"$1,250,000"
2011,Petr Prucha,"$1,250,000"
2011,Mathieu Garon,"$1,200,000"
2011,Josh Harding,"$1,200,000"
2011,Scott Clemmensen,"$1,100,000"
2011,Tomas Kopecky,"$1,200,000"
2011,Curtis Glencross,"$1,200,000"
2011,Nick Foligno,"$850,000"
2011,Keith Yandle,"$1,300,000"
2011,Rob Niedermayer,"$1,150,000"
2011,Marty Reasoner,"$1,200,000"
2011,Kyle Brodziak,"$1,100,000"
2011,Adam Burish,"$1,000,000"
2011,Ondrej Pavelec,"$1,000,000"
2011,Steve Eminger,"$1,500,000"
2011,Jody Shelley,"$1,200,000"
2011,David Steckel,"$1,100,000"
2011,Josh Gorges,"$1,300,000"
2011,Gregory Campbell,"$1,000,000"
2011,Dominic Moore,"$1,000,000"
2011,Vernon Fiddler,"$1,100,000"
2011,Roman Polák,"$1,200,000"
2011,Clarke MacArthur,"$1,100,000"
2011,Daniel Paille,"$1,000,000"
2011,Daniel Carcillo,"$1,075,000"
2011,Jeff DesLauriers,"$1,050,000"
2011,Andrew Alberts,"$1,300,000"
2011,Maxime Talbot,"$1,050,000"
2011,Cody McLeod,"$1,000,000"
2011,Troy Brouwer,"$1,050,000"
2011,Marc Methot,"$1,050,000"
2011,Matt Bradley,"$1,000,000"
2011,Johan Hedberg,"$1,000,000"
2011,Brad Lukowich,"$1,000,000"
2011,Alex Auld,"$1,000,000"
2011,Milan Jurcina,"$1,000,000"
2011,John Madden,"$1,000,000"
2011,Patrick Rissmiller,"$1,000,000"
2011,Mark Recchi,"$1,000,000"
2011,Adam Foote,"$1,000,000"
2011,Marc-Andre Bergeron,"$1,000,000"
2011,Raffi Torres,"$1,000,000"
2011,Mark Fistric,"$1,000,000"
2011,Peter Regin,"$950,000"
2011,Jason LaBarbera,"$1,000,000"
2011,Colton Orr,"$1,000,000"
2011,Peter Forsberg,"$1,000,000"
2011,Jim Slater,"$900,000"
2011,Andrej Sekera,"$1,250,000"
2011,Andrew Cogliano,"$1,000,000"
2011,Ryan Jones,"$975,000"
2011,Ben Eager,"$965,000"
2011,Daniel Winnik,"$900,000"
2011,Ryan O'Byrne,"$1,400,000"
2011,Ryan Parent,"$850,000"
2011,Erik Christensen,"$925,000"
2011,Tom Kostopoulos,"$950,000"
2011,Darren Helm,"$825,000"
2011,Patrick Kaleta,"$860,000"
2011,Stephane Da Costa,"$900,000"
2011,Mikko Koskinen,"$900,000"
2011,Bill Sweatt,"$900,000"
2011,Niclas Bergfors,"$900,000"
2011,Alexander Burmistrov,"$900,000"
2011,Andy Miele,"$900,000"
2011,Jonathan Ericsson,"$1,250,000"
2011,Cory Schneider,"$900,000"
2011,Jacob Josefson,"$900,000"
2011,Nino Niederreiter,$0
2011,Jordan Schroeder,"$900,000"
2011,Nick Leddy,"$900,000"
2011,Calvin De Haan,$0
2011,John Tavares,"$900,000"
2011,Evander Kane,"$900,000"
2011,Jeff Skinner,"$900,000"
2011,Mike Weaver,"$900,000"
2011,Matt Duchene,"$900,000"
2011,Brayden Schenn,$0
2011,Christopher Tanev,"$900,000"
2011,Brandon Gormley,$0
2011,Oliver Ekman-Larsson,"$900,000"
2011,Zack Kassian,$0
2011,Brad Richardson,"$900,000"
2011,Magnus Pääjärvi,"$900,000"
2011,Bobby Butler,"$900,000"
2011,Dmitry Kulikov,"$900,000"
2011,Casey Wellman,"$900,000"
2011,Marcus Johansson,"$900,000"
2011,Sergei Bobrovsky,"$900,000"
2011,Ryan Johansen,$0
2011,David Rundblad,"$900,000"
2011,Louis Leblanc,$0
2011,Mats Zuccarello,"$900,000"
2011,Philippe Paradis,$0
2011,Scott Glennie,$0
2011,Jussi Rynnas,"$900,000"
2011,Ben Scrivens,"$900,000"
2011,Taylor Hall,"$900,000"
2011,Tyler Seguin,"$900,000"
2011,Victor Hedman,"$900,000"
2011,Maxim Lapierre,"$900,000"
2011,Peter Holland,$0
2011,Robin Lehner,$0
2011,Kyle Palmieri,"$900,000"
2011,Cam Fowler,"$900,000"
2011,Mark Giordano,"$1,075,000"
2011,Jordan Caron,"$860,000"
2011,Jakub Kindl,"$750,000"
2011,Ryan O'Reilly,"$900,000"
2011,Martin Biron,"$950,000"
2011,Teemu Hartikainen,"$875,000"
2011,Jake Newton,"$900,000"
2011,Alex Plante,"$875,000"
2011,Colton Gillies,"$875,000"
