name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Eric Staal,MIN,C,Left,66,19,28,47,0.71,-9,113,0.17,17:08,17.13333333,M-NTC,UFA,"$3,250,000",4.10%,0.041,"$3,500,000",54.49,53.6,56.81,28,46,25,24,43,22
Eric Robinson,CBJ,W,Left,50,7,5,12,0.24,10,69,0.1,10:57,10.95,,RFA,"$874,125",1.10%,0.011,"$874,125",50.73,52.02,53.15,12,11,13,79,65,15
Elias Lindholm,CGY,C,Right,70,29,25,54,0.77,-8,169,0.17,19:43,19.71666667,,UFA,"$4,850,000",6.10%,0.061,"$5,850,000",51.67,51.36,50.48,22,33,38,93,41,41
Dylan Sikura,CHI,W,Left,9,1,2,3,0.33,1,10,0.1,9:53,9.883333333,,RFA,"$750,000",0.90%,0.009,"$700,000",46.93,46.9,40.96,0,0,2,0,7,2
Dylan McIlrath,DET,D,Right,16,0,0,0,0,-4,14,0,14:49,14.81666667,,UFA,"$700,000",0.90%,0.009,"$700,000",38.08,35.76,27.97,23,8,4,48,21,12
Dylan Larkin,DET,C,Left,71,19,34,53,0.75,-21,223,0.09,21:14,21.23333333,,UFA,"$6,100,000",7.70%,0.077,"$7,000,000",53.8,53.15,51.42,39,81,43,52,60,45
Dylan DeMelo,"OTT, WPG",D,Right,59,0,10,10,0.17,4,74,0,20:08,20.13333333,,UFA,"$900,000",1.10%,0.011,"$900,000",48.85,49.71,47.68,37,42,9,105,116,77
Dustin Brown,L.A,W,Right,66,17,18,35,0.53,-1,169,0.1,18:24,18.4,M-NTC,UFA,"$5,875,000",9.10%,0.091,"$5,500,000",54.61,54.15,52.33,22,35,28,143,88,15
Duncan Keith,CHI,D,Left,61,3,24,27,0.44,1,111,0.03,24:23:00,24.38333333,NMC,UFA,"$5,538,462",9.80%,0.098,"$3,500,000",47.78,46.88,46.09,18,74,42,26,64,117
Dryden Hunt,FLA,W,Left,21,0,4,4,0.19,0,33,0,10:29,10.48333333,,UFANo QO,"$715,000",0.90%,0.009,"$715,000",49.87,52.54,52.99,24,4,4,37,24,7
Drew Doughty,L.A,D,Right,67,7,28,35,0.52,-16,141,0.05,25:49:00,25.81666667,NMC,UFA,"$11,000,000",13.80%,0.138,"$12,000,000",51.64,50.8,49.93,36,82,15,106,97,87
Drake Caggiula,CHI,C,Left,39,9,6,15,0.38,-3,56,0.16,11:48,11.8,,UFANo QO,"$1,500,000",2.00%,0.02,"$1,500,000",47.27,46.89,46.95,32,5,19,81,41,16
Dougie Hamilton,CAR,D,Right,47,14,26,40,0.85,30,170,0.08,23:17,23.28333333,,UFA,"$5,750,000",8.10%,0.081,"$6,000,000",59.89,60.21,63.05,32,40,22,52,27,63
Dominik Simon,PIT,C,Left,65,7,15,22,0.34,-9,102,0.07,14:24,14.4,,UFANo QO,"$750,000",0.90%,0.009,"$750,000",52.79,52.53,50.62,12,31,41,57,71,20
Dominic Toninato,FLA,C,Left,46,4,7,11,0.24,4,38,0.11,11:08,11.13333333,,UFANo QO,"$775,000",1.00%,0.01,"$775,000",43.38,44.03,41.55,37,13,17,57,53,28
Dmitry Orlov,WSH,D,Left,69,4,23,27,0.39,5,105,0.04,22:10,22.16666667,M-NTC,UFA,"$5,100,000",6.80%,0.068,"$6,500,000",53.66,53.46,57.21,36,65,49,106,57,82
Dmitry Kulikov,WPG,D,Left,50,2,8,10,0.2,-4,54,0.04,20:01,20.01666667,M-NTC,UFA,"$4,333,333",5.80%,0.058,"$4,333,333",47.96,46.78,42.58,32,55,16,104,99,77
Devin Shore,"ANA, CBJ",C,Left,44,5,7,12,0.27,-10,50,0.1,11:38,11.63333333,,UFANo QO,"$2,300,000",2.90%,0.029,"$2,400,000",47.52,47.6,46.02,8,8,12,52,47,14
Derrick Pouliot,STL,D,Left,2,0,0,0,0,-1,1,0,8:20,8.333333333,,UFANo QO,"$700,000",0.90%,0.009,"$700,000",66.67,61.54,62.81,2,1,0,2,3,1
Derick Brassard,NYI,C,Left,67,10,22,32,0.48,-2,110,0.09,13:41,13.68333333,,UFA,"$1,200,000",1.50%,0.015,"$1,200,000",50.36,50.68,52.62,16,40,26,115,64,24
Derek Stepan,ARI,C,Right,70,10,18,28,0.4,-4,158,0.06,17:38,17.63333333,,UFA,"$6,500,000",9.10%,0.091,"$5,000,000",48.03,47.81,48.07,16,28,38,43,66,54
Derek Ryan,CGY,C,Right,67,10,19,29,0.43,9,102,0.1,14:32,14.53333333,,UFA,"$3,125,000",3.90%,0.039,"$3,125,000",46.91,47.11,47.52,10,26,34,12,51,34
Derek Grant,"ANA, PHI",C,Left,56,15,10,25,0.45,1,94,0.16,13:54,13.9,,UFA,"$700,000",0.90%,0.009,"$700,000",39.28,40.09,41.91,30,11,20,54,53,25
Derek Forbort,"CGY, L.A",D,Left,20,0,1,1,0.05,-5,22,0,17:49,17.81666667,,UFA,"$2,525,000",3.40%,0.034,"$2,800,000",45.09,45.65,42.62,4,16,2,35,33,30
Denis Malgin,"FLA, TOR",C,Right,44,4,8,12,0.27,-9,50,0.08,11:59,11.98333333,,RFA,"$750,000",0.90%,0.009,"$750,000",54.9,54.08,52.9,14,17,26,35,39,16
Dean Kukan,CBJ,D,Left,33,1,4,5,0.15,-9,51,0.02,15:58,15.96666667,,RFA,"$725,000",1.00%,0.01,"$750,000",52.7,54.14,54.88,12,14,7,24,43,28
David Savard,CBJ,D,Right,69,0,11,11,0.16,-3,97,0,20:41,20.68333333,,UFA,"$4,250,000",6.00%,0.06,"$5,000,000",43.62,46.43,47.16,35,43,18,129,101,163
David Perron,STL,W,Right,71,25,35,60,0.85,2,166,0.15,18:19,18.31666667,M-NTC,UFA,"$4,000,000",5.00%,0.05,"$4,750,000",59.56,58.64,56.48,52,35,39,67,65,19
David Pastrnak,BOS,W,Right,70,48,47,95,1.36,21,279,0.17,18:57,18.95,,UFA,"$6,666,667",8.90%,0.089,"$6,800,000",61.16,60.59,63.05,40,88,49,47,113,22
David Krejci,BOS,C,Right,61,13,30,43,0.7,14,83,0.16,17:10,17.16666667,M-NTC,UFA,"$7,250,000",10.50%,0.105,"$7,000,000",53.8,53.32,53,23,37,31,37,86,32
David Kampf,CHI,C,Left,70,8,8,16,0.23,-11,90,0.09,13:40,13.66666667,,RFA,"$1,000,000",1.20%,0.012,"$1,000,000",41.07,41.6,40.1,8,17,37,52,118,26
David Backes,"ANA, BOS",W,Right,22,1,5,6,0.27,-1,34,0.03,9:23,9.383333333,M-NTC,UFA,"$6,000,000",8.20%,0.082,"$4,000,000",51.56,53.24,56.27,22,9,5,38,20,8
Darren Helm,DET,W,Left,67,9,7,16,0.24,-6,102,0.09,13:44,13.73333333,,UFA,"$3,850,000",5.30%,0.053,"$3,000,000",44.78,45.28,41.73,37,30,24,88,65,26
Darnell Nurse,EDM,D,Left,72,5,28,33,0.46,-2,170,0.03,23:27,23.45,,RFA,"$3,200,000",4.00%,0.04,"$3,200,000",45.81,45.51,46.43,48,54,26,172,73,141
Danton Heinen,"ANA, BOS",W,Left,67,10,16,26,0.39,-2,109,0.09,14:28,14.46666667,,RFA,"$2,800,000",3.40%,0.034,"$2,825,000",52.95,52.54,55.79,10,30,19,35,66,34
Danny DeKeyser,DET,D,Left,8,0,4,4,0.5,0,12,0,22:03,22.05,NTC,UFA,"$5,000,000",6.80%,0.068,"$5,500,000",35.24,35.96,33.41,4,8,0,6,14,18
Daniel Sprong,ANA,W,Right,8,1,1,2,0.25,-2,17,0.06,14:06,14.1,,RFA,"$750,000",0.90%,0.009,"$750,000",59.19,61.02,62.41,0,0,1,4,6,3
Daniel Carr,NSH,W,Left,11,1,0,1,0.09,-5,14,0.07,10:20,10.33333333,,UFA,"$700,000",0.90%,0.009,"$700,000",44.55,44.94,40.74,4,1,8,10,15,2
Damon Severson,N.J,D,Right,69,8,23,31,0.45,-20,114,0.07,22:57,22.95,,UFA,"$4,166,666",5.60%,0.056,"$4,675,000",48.29,48.89,50.98,52,73,35,81,55,97
Dalton Prout,S.J,D,Right,2,0,0,0,0,0,2,0,12:48,12.8,,UFA,"$800,000",1.00%,0.01,"$800,000",44.74,43.33,32.28,7,0,2,3,3,3
Dale Weise,MTL,W,Right,23,1,4,5,0.22,1,15,0.07,9:16,9.266666667,,UFA,"$2,350,000",3.20%,0.032,"$1,750,000",45.31,44.91,41.46,16,12,8,70,25,10
Craig Smith,NSH,W,Right,69,18,13,31,0.45,18,184,0.1,13:25,13.41666667,,UFA,"$4,250,000",6.00%,0.06,"$4,750,000",60.61,61.29,63.99,34,26,26,60,63,19
Cory Conacher,T.B,C,Left,4,0,1,1,0.25,-2,5,0,11:05,11.08333333,,UFA,"$700,000",0.90%,0.009,"$700,000",56.67,57.97,55.35,4,1,5,3,3,1
