Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Pittsburgh Penguins,2016,24,16,8,0,4,3,0.667,73,55,18
2,San Jose Sharks,2016,24,14,10,0,1,4,0.583,75,56,19
3,Tampa Bay Lightning,2016,17,11,6,0,3,1,0.647,48,40,8
4,St. Louis Blues,2016,20,10,10,0,2,2,0.5,57,56,1
5,Dallas Stars,2016,13,7,6,0,1,2,0.538,35,42,-7
6,Nashville Predators,2016,14,7,7,0,2,0,0.5,31,43,-12
7,Washington Capitals,2016,12,6,6,0,1,2,0.5,29,22,7
8,New York Islanders,2016,11,5,6,0,3,2,0.455,26,32,-6
9,Chicago Blackhawks,2016,7,3,4,0,1,1,0.429,20,19,1
10,Anaheim Ducks,2016,7,3,4,0,0,0,0.429,18,14,4
11,Minnesota Wild,2016,6,2,4,0,1,0,0.333,17,21,-4
12,Florida Panthers,2016,6,2,4,0,0,3,0.333,14,15,-1
13,Philadelphia Flyers,2016,6,2,4,0,0,0,0.333,6,14,-8
14,New York Rangers,2016,5,1,4,0,0,0,0.2,10,21,-11
15,Detroit Red Wings,2016,5,1,4,0,0,0,0.2,8,12,-4
16,Los Angeles Kings,2016,5,1,4,0,1,0,0.2,11,16,-5
