Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Colorado Avalanche,2021,20,16,4,0,5,1,0.8,85,55,30
2,Tampa Bay Lightning,2021,23,14,9,0,1,2,0.609,67,61,6
3,New York Rangers,2021,20,10,10,0,1,2,0.5,62,58,4
4,Edmonton Oilers,2021,16,8,8,0,1,2,0.5,65,59,6
5,Carolina Hurricanes,2021,14,7,7,0,1,0,0.5,37,40,-3
6,St. Louis Blues,2021,12,6,6,0,1,1,0.5,40,38,2
7,Calgary Flames,2021,12,5,7,0,1,1,0.417,35,39,-4
8,Florida Panthers,2021,10,4,6,0,2,0,0.4,23,32,-9
9,Boston Bruins,2021,7,3,4,0,0,0,0.429,20,24,-4
10,Los Angeles Kings,2021,7,3,4,0,1,0,0.429,17,27,-10
11,Toronto Maple Leafs,2021,7,3,4,0,0,1,0.429,24,23,1
12,Dallas Stars,2021,7,3,4,0,0,1,0.429,14,15,-1
13,Pittsburgh Penguins,2021,7,3,4,0,1,1,0.429,29,28,1
14,Minnesota Wild,2021,6,2,4,0,0,0,0.333,16,22,-6
15,Washington Capitals,2021,6,2,4,0,0,2,0.333,19,20,-1
16,Nashville Predators,2021,4,0,4,0,0,1,0,9,21,-12
