Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Chicago Blackhawks,2015,23,16,7,0,4,1,0.696,69,60,9
2,Tampa Bay Lightning,2015,26,14,12,0,3,0,0.538,65,62,3
3,Anaheim Ducks,2015,16,11,5,0,3,3,0.688,57,42,15
4,New York Rangers,2015,19,11,8,0,4,1,0.579,45,41,4
5,Washington Capitals,2015,14,7,7,0,1,3,0.5,28,28,0
6,Montreal Canadiens,2015,12,6,6,0,2,1,0.5,25,29,-4
7,Calgary Flames,2015,11,5,6,0,1,1,0.455,27,33,-6
8,Minnesota Wild,2015,10,4,6,0,0,0,0.4,24,27,-3
9,New York Islanders,2015,7,3,4,0,1,1,0.429,15,16,-1
10,Detroit Red Wings,2015,7,3,4,0,0,1,0.429,15,17,-2
11,Ottawa Senators,2015,6,2,4,0,0,2,0.333,12,12,0
12,Nashville Predators,2015,6,2,4,0,0,2,0.333,21,19,2
13,Vancouver Canucks,2015,6,2,4,0,0,0,0.333,14,18,-4
14,St. Louis Blues,2015,6,2,4,0,0,0,0.333,14,17,-3
15,Pittsburgh Penguins,2015,5,1,4,0,0,2,0.2,8,11,-3
16,Winnipeg Jets,2015,4,0,4,0,0,1,0,9,16,-7
