Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Washington Capitals,2018,24,16,8,0,3,2,0.667,86,61,25
2,Vegas Golden Knights,2018,20,13,7,0,2,1,0.65,57,47,10
3,Tampa Bay Lightning,2018,17,11,6,0,1,0,0.647,50,48,2
4,Winnipeg Jets,2018,17,9,8,0,0,1,0.529,53,42,11
5,Nashville Predators,2018,13,7,6,0,1,0,0.538,41,42,-1
6,San Jose Sharks,2018,10,6,4,0,1,1,0.6,30,26,4
7,Pittsburgh Penguins,2018,12,6,6,0,0,1,0.5,42,34,8
8,Boston Bruins,2018,12,5,7,0,0,1,0.417,41,37,4
9,Toronto Maple Leafs,2018,7,3,4,0,0,0,0.429,20,28,-8
10,Philadelphia Flyers,2018,6,2,4,0,0,0,0.333,15,28,-13
11,Colorado Avalanche,2018,6,2,4,0,0,0,0.333,15,22,-7
12,Columbus Blue Jackets,2018,6,2,4,0,2,2,0.333,18,24,-6
13,Minnesota Wild,2018,5,1,4,0,0,0,0.2,9,16,-7
14,New Jersey Devils,2018,5,1,4,0,0,0,0.2,12,18,-6
15,Los Angeles Kings,2018,4,0,4,0,0,1,0,3,7,-4
16,Anaheim Ducks,2018,4,0,4,0,0,0,0,4,16,-12
