Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Pittsburgh Penguins,2017,25,16,9,0,2,2,0.64,77,57,20
2,Nashville Predators,2017,22,14,8,0,2,1,0.636,60,48,12
3,Ottawa Senators,2017,19,11,8,0,6,2,0.579,47,50,-3
4,Anaheim Ducks,2017,17,10,7,0,4,1,0.588,50,52,-2
5,Edmonton Oilers,2017,13,7,6,0,1,3,0.538,36,35,1
6,Washington Capitals,2017,13,7,6,0,4,2,0.538,36,36,0
7,St. Louis Blues,2017,11,6,5,0,2,0,0.545,22,23,-1
8,New York Rangers,2017,12,6,6,0,1,3,0.5,34,30,4
9,San Jose Sharks,2017,6,2,4,0,1,1,0.333,14,12,2
10,Montreal Canadiens,2017,6,2,4,0,1,1,0.333,11,14,-3
11,Boston Bruins,2017,6,2,4,0,1,3,0.333,13,15,-2
12,Toronto Maple Leafs,2017,6,2,4,0,2,3,0.333,16,18,-2
13,Minnesota Wild,2017,5,1,4,0,0,2,0.2,8,11,-3
14,Columbus Blue Jackets,2017,5,1,4,0,0,1,0.2,13,21,-8
15,Calgary Flames,2017,4,0,4,0,0,1,0,9,14,-5
16,Chicago Blackhawks,2017,4,0,4,0,0,1,0,3,13,-10
